TimeStamp;RH
3.10.2020 22:17;83,7
3.10.2020 22:32;83,7
3.10.2020 22:47;83,2
3.10.2020 23:02;81,3
3.10.2020 23:17;83,7
3.10.2020 23:32;86,2
3.10.2020 23:47;86,2
4.10.2020 0:02;86,7
4.10.2020 0:17;93,6
4.10.2020 0:32;98,5
4.10.2020 0:47;98,5
4.10.2020 1:02;98
4.10.2020 1:17;96,5
4.10.2020 1:32;97
4.10.2020 1:47;98
4.10.2020 2:02;105,3
4.10.2020 2:17;107,8
4.10.2020 2:32;106,8
4.10.2020 2:47;107,3
4.10.2020 3:02;107,8
4.10.2020 3:17;108,2
4.10.2020 3:32;108,7
4.10.2020 3:47;107,8
4.10.2020 4:02;106,3
4.10.2020 4:17;104,3
4.10.2020 4:32;102,9
4.10.2020 4:47;101,4
4.10.2020 5:02;100,4
4.10.2020 5:17;101,9
4.10.2020 5:32;101,9
4.10.2020 5:47;102,4
4.10.2020 6:02;103,4
4.10.2020 6:17;103,8
4.10.2020 6:32;103,4
4.10.2020 6:47;103,4
4.10.2020 7:02;101,4
4.10.2020 7:17;100,4
4.10.2020 7:32;99,9
4.10.2020 7:47;99,9
4.10.2020 8:02;99,4
4.10.2020 8:17;98
4.10.2020 8:32;97,5
4.10.2020 8:47;96,5
4.10.2020 9:02;96,5
4.10.2020 9:17;95,5
4.10.2020 9:32;93,6
4.10.2020 9:47;93,6
4.10.2020 10:02;92,1
4.10.2020 10:17;90,6
4.10.2020 10:32;89,1
4.10.2020 10:47;88,6
4.10.2020 11:02;86,2
4.10.2020 11:17;86,7
4.10.2020 11:32;86,2
4.10.2020 11:47;85,7
4.10.2020 12:02;83,7
4.10.2020 12:17;81,3
4.10.2020 12:32;78,8
4.10.2020 12:47;76,8
4.10.2020 13:02;75,8
4.10.2020 13:17;76,8
4.10.2020 13:32;76,8
4.10.2020 13:47;77,3
4.10.2020 14:02;76,3
4.10.2020 14:17;79,3
4.10.2020 14:32;80,8
4.10.2020 14:47;83,7
4.10.2020 15:02;86,2
4.10.2020 15:17;91,6
4.10.2020 15:32;98
4.10.2020 15:47;100,4
4.10.2020 16:02;100,4
4.10.2020 16:17;101,4
4.10.2020 16:32;99,4
4.10.2020 16:47;98
